section,page_image,case_id,visible_item_or_phrase,visible_description,confidence,follow_up
FD302 summary,EFTA00247085-01.png,Multiple,"U-Haul / 50D-NY / 31E-MM / 90A-NY / ELSUR","FD-302 says material transported from WFO evidence storage to IMD, separated by case number, photographed, and preserved in five photo logs.",high,"Use as master anchor; extract exact photo-log attachment IDs."
1A attachment,EFTA00247085-02.png,Multiple,"1A318","Original DVDs of photos and original photo logs.",high,"Trace 1A318 production/release status."
1A attachment,EFTA00247085-03.png,Multiple,"1A319","Backup of original DVDs/photos and copy of photo logs.",high,"Trace 1A319 production/release status."
1A attachment,EFTA00247085-04.png,Multiple,"1A320","Working copies of DVDs/photos and copy of photo log.",high,"Trace 1A320 production/release status."
31E photo log,EFTA00247085-05.png,31E-MM-108062,"31E-MM-108062 photo log","Miami/Palm Beach case bucket begins.",medium,"Manual transcribe pages 05-08."
31E photo log,EFTA00247085-06.png,31E-MM-108062,"box/folder/item entries","Dense handwritten photo-log entries.",medium,"Manual zoom/OCR extraction."
31E photo log,EFTA00247085-07.png,31E-MM-108062,"box/folder/item entries","Dense handwritten photo-log entries.",medium,"Manual zoom/OCR extraction."
31E photo log,EFTA00247085-08.png,31E-MM-108062,"box/folder/item entries","Continuation/end of 31E photo-log section.",medium,"Crosslink to Leap Year/31E records."
90A photo log,EFTA00247085-09.png,90A-NY-3151227,"90A-NY-3151227 photo log","Death-investigation bucket begins.",medium,"Manual transcribe pages 09-12."
90A photo log,EFTA00247085-10.png,90A-NY-3151227,"box/folder/item entries","Dense handwritten photo-log entries.",medium,"Crosslink to MCC/CART archive records."
90A photo log,EFTA00247085-11.png,90A-NY-3151227,"box/folder/item entries","Dense handwritten photo-log entries.",medium,"Manual zoom/OCR extraction."
90A photo log,EFTA00247085-12.png,90A-NY-3151227,"box/folder/item entries","Continuation/end of 90A section.",medium,"Manual zoom/OCR extraction."
50D photo log,EFTA00247085-13.png,50D-NY-3027571,"50D-NY-3027571 photo log","Main New York trafficking case bucket begins.",high,"Use as section header."
50D photo log,EFTA00247085-14.png,50D-NY-3027571,"1B18; 1B140; 1B63; 1B139; 1B120; 1B135; 1B127; box containing 1B folders; 1B37; 1B45; 1B72; 1B75; 1B58; 1B69","Visible dense 1B box/folder sequence.",medium,"Crosswalk each 1B to item index."
50D photo log,EFTA00247085-15.png,50D-NY-3027571,"1B60; 1B78; 1B25; 1B114; 1B59; 1B54; 1B22; 1B5; 1B70; 1B62; 1B104; 1B19; 1B116; 1B128; 1B31","Visible dense 1B box/folder sequence.",medium,"Crosswalk each 1B to item index."
50D photo log,EFTA00247085-16.png,50D-NY-3027571,"83 - Box from 90A case - inside not photographed; 1B32; 1B33; 1B36; 1B35; 1B95; 1B90; 1B97; 1B81; 1B86; 1B99; 1B91; 1B92; 1B126; 1B96; 1B105; 1B11","A 90A box note appears in the 50D log flow.",medium,"Verify exact wording; crosslink 90A item 83."
50D photo log,EFTA00247085-17.png,50D-NY-3027571,"1B125; 1B82; 1B142; 1B141; 1B71; 1B38; 1B52; 1B39; 1B40; 1B50; 1B51; 1B49; 1B44; 1B47; 1B129; 1B26; 1B130; 1B120; 1B106; 1B124","Inventory/grouped-item page with several visible 1B entries.",medium,"Manual zoom pass; verify grouped lists and redactions."
50D photo log,EFTA00247085-18.png,50D-NY-3027571,"Box marked Epstein/Maxwell; Box Epstein; PBPD records - box; Miami Case - image; 1B119; 1B61; 1B115; 1B68 + 1B101; 1B117 + 1B79; 1B112; 1B16; 1B24; 1B132; 1B11","Richest narrative page: Epstein/Maxwell boxes, PBPD records, Miami image, and grouped 1B items.",medium,"Priority extraction and crosslink to PBPD/Miami records."
50D photo log,EFTA00247085-19.png,50D-NY-3027571,"continuation page","Continuation/end of 50D section requiring zoom/manual extraction.",low,"Complete page-level transcription."
50D photo log,EFTA00247085-20.png,50D-NY-3027571,"blank/continuation","Appears blank-ish continuation.",low,"Confirm no hidden text."
50D photo log,EFTA00247085-21.png,50D-NY-3027571,"rotated cover/section sheet","Possible duplicate or rotated section cover.",medium,"Confirm role in packet."
ELSUR photo log,EFTA00247085-22.png,ELSUR,"ELSUR photo log","ELSUR section begins.",medium,"Manual transcribe pages 22-23."
ELSUR photo log,EFTA00247085-23.png,ELSUR,"FBI Evidence Pkg from Florida; Evidence Box Contents; Tote Bag Contents; CDR - Bank One; Tape entries; Tote Bag Completed","ELSUR bucket points to Florida package, box contents, bank CDR, tapes, tote-bag contents.",medium,"Crosslink to ELSUR shipment/review records."
U-Haul truck log,EFTA00247085-24.png,50D-NY-3027571,"license plate redacted; dashboard; odometer; rear open; rear closed/locked","Vehicle itself photographed/documented.",high,"Use for vehicle documentation only; not item-level contents."
