efta,dataset,url,relative_path,bytes,sha256,page_count,expected_pages,status,role
EFTA01435885,10,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01435885.pdf,india_supplement_2026-05-26/hardening/source_pdfs/EFTA01435885.pdf,166645,da3241311d03874a743937a48e27e85a55b7f5c4bbf5ebc5ae52d697828f7876,3,3,OK,wire authorization / asset movement
EFTA01299550,10,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01299550.pdf,india_supplement_2026-05-26/hardening/source_pdfs/EFTA01299550.pdf,183706,c54eed229f997cd5d3ebc7774162c8971146bbbf307e73901e9abc8d9c860cc6,2,2,OK,incoming/outgoing wires checks ACH report
EFTA01387768,10,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01387768.pdf,india_supplement_2026-05-26/hardening/source_pdfs/EFTA01387768.pdf,97754,2beabf451442d5156c886cc6a71928b75884153f1376ff80280bc6ae85bcb405,1,1,OK,DB internal wire email
EFTA00811490,9,https://www.justice.gov/epstein/files/DataSet%209/EFTA00811490.pdf,india_supplement_2026-05-26/hardening/source_pdfs/EFTA00811490.pdf,1755872,79362b7f8441de94867b6edacdd06cbf3c3f7eaa5a86bd6f7bc39eb3a506b9dd,7,7,OK,April 2017 asset summary
EFTA01288388,10,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01288388.pdf,india_supplement_2026-05-26/hardening/source_pdfs/EFTA01288388.pdf,257377,ac5a4f9e3fde482e7d56f1fd4ef1f73aa9e636507c5e630005bd4ccf43ea1400,4,4,OK,April 2019 bank statement final draw B
EFTA01288200,10,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01288200.pdf,india_supplement_2026-05-26/hardening/source_pdfs/EFTA01288200.pdf,241715,b5d0a88c9397b5481119f3b1b0ccd730dcfe31f1c06d5c0fc264d04df0b9dd11,4,4,OK,January 2019 bank statement final draw A
EFTA01287701,10,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01287701.pdf,india_supplement_2026-05-26/hardening/source_pdfs/EFTA01287701.pdf,246440,7e0656fb658d2bb2fa14e0c49ff4eabfc05cd90d9f70384c6d5409df8a9766d4,4,4,OK,June 2018 bank statement call 10
EFTA01287332,10,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01287332.pdf,india_supplement_2026-05-26/hardening/source_pdfs/EFTA01287332.pdf,193022,2a59fa54a65ad77bdad09cb43f6bf6500e9965889cb011830be59a416b153907,3,3,OK,January 2018 bank statement call 8
EFTA01287138,10,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01287138.pdf,india_supplement_2026-05-26/hardening/source_pdfs/EFTA01287138.pdf,184086,a5e0795095305ed877867b76df4e7a45e8fe06fcf5e1efb7db4aa1efb5a17142,3,3,OK,October 2017 bank statement call 7
EFTA01286953,10,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01286953.pdf,india_supplement_2026-05-26/hardening/source_pdfs/EFTA01286953.pdf,168816,82f66145b4e22405da5d27ef8b17e17b9873ef11a3211f182454812257f14742,3,3,OK,July 2017 bank statement call 6
EFTA01286816,10,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01286816.pdf,india_supplement_2026-05-26/hardening/source_pdfs/EFTA01286816.pdf,199802,97a997b45f87f5170fc255eb076ea43c3cc75a8e22a72b5e9097bac4ce14dc13,3,3,OK,April 2017 bank statement call 5
EFTA01286563,10,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01286563.pdf,india_supplement_2026-05-26/hardening/source_pdfs/EFTA01286563.pdf,176826,a9cc46f0cb2944962cd16dabc06faa7e4285077db69e4bcbc9d83d3737dd838d,3,3,OK,December 2016 bank statement call 3
EFTA01286359,10,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01286359.pdf,india_supplement_2026-05-26/hardening/source_pdfs/EFTA01286359.pdf,163100,c8bc81b4b5a900eba4f3935617dca3be897f181e4d7343afe47eb9b264a9ef06,3,3,OK,August 2016 bank statement call 2
EFTA01286240,10,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01286240.pdf,india_supplement_2026-05-26/hardening/source_pdfs/EFTA01286240.pdf,172284,782cf05946a913e3a646f1ef0bb1463f36730d223e5e69e622351e8891fd4d3f,3,3,OK,June 2016 bank statement call 1
EFTA00591691,9,https://www.justice.gov/epstein/files/DataSet%209/EFTA00591691.pdf,india_supplement_2026-05-26/hardening/source_pdfs/EFTA00591691.pdf,5119462,49dbdc2e191b6ae9a8beed8459986a3cb7d260f18afaa2b1e3cb3693c92aa9d1,57,57,OK,Valar Global Fund III LPA
EFTA00836182,9,https://www.justice.gov/epstein/files/DataSet%209/EFTA00836182.pdf,india_supplement_2026-05-26/hardening/source_pdfs/EFTA00836182.pdf,50004,2bb7452a4d95e5b5037cf40b19d557e0cd58b395fdf2a59cdffb5a9778706bde,1,1,OK,Fund III closing email
